1,좋은 포션 위대한 포션,1
2,게임은 깔끔하게 잘 만들었으나 얻는 즐거움의 심도가 너무 옅다  가격 흥정은 너무 쉽고 고객은 포션을 사갈 뿐이지 어떠한 관계를 형성하진 않는다  제작 또한 재료의 성분이 필요한 게 아닌 성질이 필요하다는 것에 흥미가 떨어진다 ,0
3,제작과 판매 자체만으로 재밌게 할 수 있다면 추천한다 ,1
4,메뉴판 보고 주문해 이 잡것들아,0
5,응애 나 애기 포션상인,1
6,마우스 나노 컨트롤 가능해짐,1
7,재밌음,1
8,친구랑 해야 재밌다,1
9,친구 없으면 재미 없음,0
10,재미없다,0
11,ㄹㅇ개재미없다 씹노잼임 진짜로,0
12,혼자해도 할만함 재밌음,1
13,잘 만들어진 게임,1
14,업뎃좀 더 해주세요 아 게임 노잼이네 컨텐츠가 부족하네,1
15,초반에는 재밌는데 좀만해도 반복노가다에 질림 ,0
16,노가다성요소가너무많음,0
17,노가다겜 좋아하는 사람들은 좋아할듯 일단 나는 노잼,0
18,아직 얼리인 만큼 부족한 부분이 많이있음,0
19,지금 사기엔 좀 이른감이 있습니다   ,0
20,더이상 컨텐츠가 없지만 현자의 돌 만들기는 귀찮다,1
21,스토리라인하고 추가정원과 광산 금지된연금술 같은거도 추가되면 더좋을듯,1
22,확실한건 절대 돈아까운 게임은 아님,1
23,돈아까워죽겠다 이걸 게임이라고 파냐,0
24,즐길 줄 아는 친구들과 함께 하면 더 재밌는 게임,1
25,마음맞는 친구들이랑 하면 꿀잼,1
26,게임은 재밋는데 같이할 친구가 없음,1
27,한국어 업데이트할때까지 숨참는다,1
28,이런 게임은 구매 버튼 누르면 '같이 할 친구가 없다면 구매하지 마세요' 같은 알림창 떠야함,1
29,개 씨ㅡ발 죡같은 고인물개ㅡ새ㅡ끼들아 뉴비학살좀 그만해라 2시간동안 파밍해서 팔려고 가려니까 씨ㅡ발 하루에 몇번을 쳐죽이냐 도대체? 고인물 개 씨ㅡ발롬들 더러워서 게임안한다,0
30,재밌어요 한글패치가 있으면 정말 많은 사람들이 했을텐데 아쉽네요,1
31,게임 너무 재밌습니다  근데 유저 안만나는 모드 만들어 주시면 안될까요? 예쁜바다 보면서 재밌는 탐험 하고 있는데 유저새끼가 와서 시비걸면 기분 정말 뭐 같아져요 ,1
32,내가 해군을 다녀온건   이 게임을 하기 위해서다    ,1
33,저는 정말 재밌는데 같이 할 사람이 없어요    ,1
34,아싸는 할 수 없는 게임   ,0
35,같이 하실 분 있나요   ㅠㅠㅠ,1
36,혼자하면 떵겜,0
37,같이하면 갓겜,1
38,친구가 있다면 재밌습니다  혼자 하다보면 조금 슬퍼져요 ,1
39,찌발 친구없으면 어케해,0
40,게임을 제대로시작하기도전에 듀토리얼을 마치고 나온 시작섬에서 한국인 플레이어2명한테 영문도모른채 5번넘게 죽었음   +뉴비라고 욕먹고 아무것도 못했음,0
41,사람이 얼마나 행복해질수있고 슬퍼질수있는지를 알수있는 낭만 넘치는 게임,1
42,다른배 보는순간 동맹이고 나발이고 저 배가 나를 쏠지 내가먼저 저 배를 쏠지 고민하게되는,1
43,약탈마인드의 근본게임,1
44,처음에 가라고 하는 섬에 가는것도 존ㄴr 험난함 ,0
45,처음가는 섬에는 고인물들이 죽치고 있어서 오기만 하면 배부시고 죽이고 하는데 어떻게 진행을 하라는건지 모르겠음 ,0
46,존ㄴr환불각임  새로 시작하려는 분들은 이거 유의해서 해주세요 ,0
47,존잼,1
48,처음 뉴비 일때 사람들을 만날 때 다들 착했다  인사 해주고 같이 연주도 하고,1
49,나중에 돈 벌고 배를 꾸미니깐 사람들이 악랄해지면서 해적으로 보였다 ,0
50,아니 원래 그들은 해적이었다  나 또한 그들처럼 악랄한 해적으로 변해갔다 ,0
51,어 사람 배네? 도망가거나 싸우거나 둘 중 하나다  5252 너희들 내 동료가 돼라,1
52,재밌는데 핵잡아라,0
53,중국이 망해야하는 이유를 적나라하게 보여줌,0
54,갓겜이다 명작  ,1
55,그타온라인 들가면 패드립+욕설 잼민이들과 오프학살 핵찔이의 무한킬+바탕화면으로 크래쉬 등등이 나를 반겨주지만 이젠 그것조차 즐기는 상태가 되었다  이것이 해탈인가   ,1
56,재밌긴 한데 착짱죽짱이 뭔지 몸소 보여주는 게임 핵 안 쓰면 호~구 등`신 취급 받는 이 게임 정말 재밌다~ 해보실?,1
57,스팀 최고의 게임,1
58,뭐야 나 언제 이만큼 했지,1
59,이 게임은 지우면 하고 싶고 깔면 할거 없는 게임임 ,1
60,게임 플레이시간<게임 로딩시간,0
61,도박 없는 도박장,1
62,ㄹㅇ개재밌음,1
63,역시 이만한 게임이 없다,1
64,이게 근본이지,1
65,근본있는 게임,1
66,자본주의가 뭔지 알려주는 유익한 경제게임,1
67,플레이 시간이 모든걸 말해줍니다   ,1
68,돈 많으면 개꿀잼임 돈 없으면 좆노잼,1
69,시간이 참 잘가는 게임 ,1
70,로딩이 너무 오래걸림,0
71,발적화만 어케해봐,0
72,딱 한마디만 한다  발적화,0
73,가볍제 즐길 수 있는 퍼즐입니다 ,1
74,난이도가 적당하고 점액질도 나름 귀여워서 지루하지 않았습니다 ,1
75,엽기 수술 게임 ,1
76,말도 안되는 도구로 말도 안되는 병들을 치료합니다 ,1
77,짧고 가볍게 웃으며 찡그리며?  할만하네요 ,1
78,개인적으로 퍼즐 게임을 좋아하는데,1
79,외관상은 좀 비위상할수 있는분도 계실테지만,1
80,재미있게 했습니다 ,1
81,이 게임을 터치가 아닌 마우스로 하는건 노동으로밖에 느껴지지 않았어요 ,0
82,하지만 가격이 모든걸 용서해주네요 ,1
83,짧은데 길어봤자 의미 없었을 거 같기도 함 넘 반복적임,0
84,촛농 제대로 안 떨어져서 홧병 날 뻔했음,0
85,갠적으로 힐링겜이기엔 넘 더러웠다,0
86,ㅆㅅㅌㅊ 추억겜,1
87,처음부터 스팀이였으면 1만 시간은 넘겼을 게임,1
88,과거의 추억의 게임  여기 서버를 다시 한번 만들어 보고 싶다  다만 예전의 영광처럼 한국인들은 없을듯  ,1
89,게임자체는 재미있게 즐기고있으며,1
90,생각없이 시간 순삭할 수 있는 타임머신겜,1
91,시간 때우기 딱 좋은게임입니다,1
92,버그도 많아요,0
93,제 돈 주고 사기 아까운 게임,0
94,세일가면 몰라도 정가에는 절대 못산다 아까움,0
95,귀여운 게임 업그레이드 버전,1
96,그냥 아무 생각 없이 즐기기 좋은 게임인 것 같다 ,1
97,싼맛에 하는 무책임한 ㅄ겜,0
98,탑다운슈터 게임에 갖춰야 할 건 다 있는 게임 ,1
99,가성비 갓갓겜,1
100,어지러워서 못 하겠다,0
101,안그래도 되게 싼게임을 세일까지 해서 650원 주고 산 게임이지만 이쯤되면 좀 많이 심각    ,0
102,이 게임을 구매하는 것은 3000원을 가장 판타스틱하게 내다 버리는 방법입니다 ,0
103,이게임은 아무리 싸더라도 게임으로서 갖추고있어야할 기본적인 틀마저 갖추지 못하고 있음 ,0
104,언리얼엔진의 안 좋은 모든면을 보여주는 게임,0
105,만들다 만 게임,0
106,어떻게 설명해야할지 모르겠지만 맵이 정말 좁다,0
107,기가 막혀 말이 안나온다,0
108,이것도 게임인가,0
109,나만 당할 수 없다는 생각에 일단 추천을 해본다,0
110,인생 게임이다 이건,1
111,언인스톨 시뮬레이터로써는 정말 훌륭한 작품이다,1
112,플레이하는순간 지우고싶어지는 게임,0
113,한지10분만에 질림,0
114,진짜 너무나도 별거 없어서 별거없음 ,0
115,지금 디비전이나 배그를 헬적화라 칭하는건가? 자네 아직 이 게임을 해보지 않았구먼 ㅎ헣,0
116,한 10년 전쯤에 나왔으면 통했을지도 모르겠다 ,0
117,크리스마스 시즌이 다가왔습니다  간편하게 게임을 즐길수 있고 마우스 클릭으로 집중력도 쌓을수 있는 재미있는 게임 입니다 ,1
118,크리스마스 시즌에 마춰서 출시된 크리스마스 슬롯 머신      게임 언제 어디서나 코인소리가 들리고 간식과 사탕 음료수 과자 다양하게 준비를 하여서 즐거운 게임을 해볼수 있는 슬롯 머신 게임 입니다 ,1
119,멀리 호텔이나 게임장에 않가고 집에서 클릭과 따뜻하게 게임을 즐길수 있구요  레벨도 올라가면 갈수록 어워드 보상도 받고 용돈이 엄청하게 올라갑니다        ,1
120,다른거 다 가지고있으니까 꾸러미로 사니 개이득이넹,1
121,한글패치좀,1
122,한글화 부탁요,1
123,도전과제는 58% 정도 달성했는데 한 번도 죽지 않고 게임을 클리어해야 하거나 게임을 2시간 30분 안에 클리어해야 하는 등의 까다로운 도전과제들이 있어 한 번의 클리어만으로 모든 도전과제를 달성하기는 무리인 게임입니다 ,1
124,세일 아니면 안삼,0
125,기냥저냥 할만함 딱 평타잼,1
126,플레이타임 4시간이니까 75% 할때 사는게 답,1
127,같이 플레이 했었던 ,1
128,오래도록 기억에 남을 게임 ,1
129,그래픽이 매우 좋은 편,1
130,꾸미기 등에 있어 자유도가 매우 높은 편,1
