num	review	po/na
1	원래 주방장이 떠나고 돈벌이와 가게 확장에만 관심있는 젊은 사업가가 들어온 단골가게같음 단골들은 이 맛이 아니라는걸 잘 알고있음  그래도 찾아가줌 혹시 그 맛이 다시 날까봐  하지만 그 사업가는 계속 찾아오는 단골을 보고 자기가 요리를 잘한다고 착각하고있음 	0
2	개씨발련들아	0
3	배틀필드는 1에서 끝났다   	0
4	이건 내가 알던 배틀필드가 아니야…	0
5	이걸 제값주고 산 내 인생이 레전드다	0
6	제발 환불 시켜줘	0
7	쓰레기임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 1시간 돌리고 바로 환불	0
8	  환불못한게아쉽네	0
9	하면할수록 개같은 똥겜 포탈이 답	0
16	이런겜 왜함?	0
99	내용이 너무 없다	0
101	처음엔     친해지고싶었던 지인이 있어서 게임플레이하게됬는데      이젠 아무의미없음    그냥 노가다게임	0
110	쌉노잼	0
119	그리고 여러 사람이 안 들어오고 저 혼자 솔플해도 자주 튕기는데	0
120	제발 서버렉좀 고쳐주세요 제발	0
122	350시간 하던거 업데이트 하더니 갑자기 다 사라짐;	0
129	노가다 너무 심함	0
132	3시간하고 버그 졸라 많아서 지움  전설무기 얻고 껐다 켜야 설명 없어짐  콜드부트 미션인가 하라는데 뜨지도 않고 사방팔방 돌아다녀도 안뜸  길표시도 없고 개 죶같음  뭘 누르라는지 표시도 없음	0
133	이 회사는 유저들을 생각하지 않습니다	0
196	한숨만 나오는 게임	0
204	근데 비오는날 길 개미끄러워서 억까로 사고나면 바로 빡종함 	0
205	돈아까워서 억지로함	0
34	아싸는 할 수 없는 게임   	0
36	혼자하면 떵겜	0
39	찌발 친구없으면 어케해	0
40	게임을 제대로시작하기도전에 듀토리얼을 마치고 나온 시작섬에서 한국인 플레이어2명한테 영문도모른채 5번넘게 죽었음   +뉴비라고 욕먹고 아무것도 못했음	0
44	처음에 가라고 하는 섬에 가는것도 존ㄴr 험난함 	0
45	처음가는 섬에는 고인물들이 죽치고 있어서 오기만 하면 배부시고 죽이고 하는데 어떻게 진행을 하라는건지 모르겠음 	0
49	나중에 돈 벌고 배를 꾸미니깐 사람들이 악랄해지면서 해적으로 보였다 	0
50	아니 원래 그들은 해적이었다  나 또한 그들처럼 악랄한 해적으로 변해갔다 	0
52	재밌는데 핵잡아라	0
53	중국이 망해야하는 이유를 적나라하게 보여줌	0
70	로딩이 너무 오래걸림	0
71	발적화만 어케해봐	0
72	딱 한마디만 한다  발적화	0
81	이 게임을 터치가 아닌 마우스로 하는건 노동으로밖에 느껴지지 않았어요 	0
83	짧은데 길어봤자 의미 없었을 거 같기도 함 넘 반복적임	0
84	촛농 제대로 안 떨어져서 홧병 날 뻔했음	0
85	갠적으로 힐링겜이기엔 넘 더러웠다	0
92	버그도 많아요	0
93	제 돈 주고 사기 아까운 게임	0
94	세일가면 몰라도 정가에는 절대 못산다 아까움	0
97	싼맛에 하는 무책임한 ㅄ겜	0
100	어지러워서 못 하겠다	0
43	약탈마인드의 근본게임	1
47	존잼	1
48	처음 뉴비 일때 사람들을 만날 때 다들 착했다  인사 해주고 같이 연주도 하고	1
51	어 사람 배네? 도망가거나 싸우거나 둘 중 하나다  5252 너희들 내 동료가 돼라	1
54	갓겜이다 명작  	1
57	스팀 최고의 게임	1
58	뭐야 나 언제 이만큼 했지	1
59	이 게임은 지우면 하고 싶고 깔면 할거 없는 게임임 	1
61	도박 없는 도박장	1
62	ㄹㅇ개재밌음	1
63	역시 이만한 게임이 없다	1
64	이게 근본이지	1
65	근본있는 게임	1
66	자본주의가 뭔지 알려주는 유익한 경제게임	1
67	플레이 시간이 모든걸 말해줍니다   	1
68	돈 많으면 개꿀잼임 돈 없으면 좆노잼	1
69	시간이 참 잘가는 게임 	1
73	가볍제 즐길 수 있는 퍼즐입니다 	1
74	난이도가 적당하고 점액질도 나름 귀여워서 지루하지 않았습니다 	1
75	엽기 수술 게임 	1
76	말도 안되는 도구로 말도 안되는 병들을 치료합니다 	1
77	짧고 가볍게 웃으며 찡그리며?  할만하네요 	1
262	게임은 재밌어요 근데 할인 이틀전에 사서 2만원 더주고 사서 기분이 안재밌어요	1
264	잠깐 켰다 껐는데 현실시간이 녹아있다	1
265	블러드문때는 겨드랑이에 땀나더라	1
267	잠깐해봤는데 할만하네요	1
269	ㅄ같은데 개재밌다	1
278	추천합니다	1
279	와 개재밌어요	1
281	씨발 진짜 개재밌음 	1
282	시발 빡치게 재밌다	1
286	자기 들끼리 딩가딩가 할려고 한패만든 유저가 있다는것을 제외하면 갓겜 ㅇvㅇ      	1
289	처음 그래픽을 보면 그 첨담함에 한번 놀라지만 게임을하다보면 좋은 게임성에 두번 놀랍니다	1
294	애증의 게임 	1
214	근본 갓겜	1
215	이게 근본이지	1
216	요약 ?오래하면 좀 질리지만 멀티플레이어가 살린다  힐링게임이라 할만하다  시뮬레이터 덕후가 사면 좋은게임 	1
217	솔직히 한국 라디오 패치가 살렸다  새벽에 고속도로 달리면서 들을때 그 분위기는 해본 사람만 안다 	1
218	말이 필요한지? 닥치고 추천합니다 	1
219	일단 시간 떄우기 좋고 핸드폰 보면서 운전하면 개X되는걸 알려주는것 같네여	1
220	이것이야 말로 인생겜  	1
221	무조건 배경음악 끄고 뽕짝틀어야함	1
223	친구랑 하면 재밌다 친구가 글라시오 행성에 날 버리고 가버렸다 친구랑 할때는 예비로 셔틀을 만들어 놓는것을 추천한다 	1
224	오폰 베타 때 부터 시작했던 유저입니다 	1
		
