num,review,po/na
2,게임은 깔끔하게 잘 만들었으나 얻는 즐거움의 심도가 너무 옅다  가격 흥정은 너무 쉽고 고객은 포션을 사갈 뿐이지 어떠한 관계를 형성하진 않는다  제작 또한 재료의 성분이 필요한 게 아닌 성질이 필요하다는 것에 흥미가 떨어진다 ,0
4,메뉴판 보고 주문해 이 잡것들아,0
9,친구 없으면 재미 없음,0
10,재미없다,0
11,ㄹㅇ개재미없다 씹노잼임 진짜로,0
15,초반에는 재밌는데 좀만해도 반복노가다에 질림 ,0
16,노가다성요소가너무많음,0
17,노가다겜 좋아하는 사람들은 좋아할듯 일단 나는 노잼,0
18,아직 얼리인 만큼 부족한 부분이 많이있음,0
19,지금 사기엔 좀 이른감이 있습니다   ,0
23,돈아까워죽겠다 이걸 게임이라고 파냐,0
29,개 씨ㅡ발 죡같은 고인물개ㅡ새ㅡ끼들아 뉴비학살좀 그만해라 2시간동안 파밍해서 팔려고 가려니까 씨ㅡ발 하루에 몇번을 쳐죽이냐 도대체? 고인물 개 씨ㅡ발롬들 더러워서 게임안한다,0
60,게임 플레이시간<게임 로딩시간,0
101,안그래도 되게 싼게임을 세일까지 해서 650원 주고 산 게임이지만 이쯤되면 좀 많이 심각    ,0
102,이 게임을 구매하는 것은 3000원을 가장 판타스틱하게 내다 버리는 방법입니다 ,0
103,이게임은 아무리 싸더라도 게임으로서 갖추고있어야할 기본적인 틀마저 갖추지 못하고 있음 ,0
104,언리얼엔진의 안 좋은 모든면을 보여주는 게임,0
105,만들다 만 게임,0
106,어떻게 설명해야할지 모르겠지만 맵이 정말 좁다,0
107,기가 막혀 말이 안나온다,0
108,이것도 게임인가,0
109,나만 당할 수 없다는 생각에 일단 추천을 해본다,0
112,플레이하는순간 지우고싶어지는 게임,0
113,한지10분만에 질림,0
114,진짜 너무나도 별거 없어서 별거없음 ,0
115,지금 디비전이나 배그를 헬적화라 칭하는건가? 자네 아직 이 게임을 해보지 않았구먼 ㅎ헣,0
116,한 10년 전쯤에 나왔으면 통했을지도 모르겠다 ,0
124,세일 아니면 안삼,0
131, 과거 주타이쿤에 비하여서도 컨텐츠의 다양성이 적음  그래픽적인 설계 부분을 제외하면 나을 게 하등 없음  개발 등이 있긴한데그냥 수의사 쳐박아놓고 수리공 쳐박아놓으면 너무 쉽게 뚫리고 다음 단계로 나아가기 위한 기믹 또한 전혀 없어서 해당 부분에 있어 주타이쿤보다 못함 ,0
132,꾸미기에 있어 자유도가 매우 높은 편인데 생각보다 기본적인 툴의 자유도가 떨어짐  길을 깔거나 하는 면에 있어 이상하게 높낮이가 맞지 않아 길이 연결이 되지 않는 경우도 잦고 동물들이 한번씩 오브젝트에 갖히거나 특정 좌표에 들어는 갈 수 있는데 나올 수 없어서 지형 만족도가 바닥을 치는 등 세세한 문제가 가끔 발견됨 ,0
133,따로 배속으로 하지 않아도 동물원 규모가 8000~10000명쯤 되면 하루 종일 동물 판매하고 앉아 있어야함  다른 것에 눈 돌리는 순간 동물들의 불만 폭주  물론 해당 부분은 동물들에게 피임약을 줌으로써 해결이 되기는 함 ,0
